iter	Passed	Remaining
470	694	780
471	695	778
472	696	776
473	698	774
474	699	772
475	700	770
476	701	768
477	702	767
478	703	765
479	704	763
480	706	761
481	707	759
482	708	758
483	709	756
484	710	754
485	711	752
486	712	750
487	713	749
488	715	747
489	716	745
490	717	743
491	718	741
492	719	740
493	720	738
494	721	736
495	722	734
496	723	732
497	725	730
498	726	729
499	727	727
500	728	725
501	729	724
502	731	722
503	732	720
504	733	718
505	734	717
506	735	715
507	736	713
508	738	711
509	739	710
510	741	709
511	742	707
512	743	706
513	744	704
514	746	702
515	747	700
516	748	699
517	749	697
518	750	695
519	751	693
520	753	692
521	754	690
522	755	688
523	756	687
524	757	685
525	758	683
526	759	681
527	760	680
528	762	678
529	763	676
530	764	675
531	765	673
532	766	671
533	768	670
534	769	668
535	770	667
536	772	665
537	773	664
538	774	662
539	776	661
540	777	659
541	778	658
542	780	656
543	781	655
544	783	653
545	784	652
546	785	650
547	786	648
548	787	647
549	789	645
550	790	643
551	791	642
552	792	640
553	793	638
554	794	637
555	795	635
556	796	633
557	798	632
558	799	630
559	800	629
560	801	627
561	802	625
562	803	623
563	804	622
564	806	620
565	807	618
566	808	617
567	809	615
568	810	613
569	811	612
570	813	611
571	814	609
572	815	607
573	816	606
574	818	604
575	819	602
576	820	601
577	821	599
578	822	598
579	823	596
580	824	594
581	825	593
582	827	591
583	828	590
584	829	588
585	831	587
586	832	585
587	833	584
588	834	582
589	836	581
590	837	579
591	838	578
592	840	576
593	841	575
594	842	573
595	844	572
596	845	570
597	847	569
598	848	567
599	849	566
600	850	564
601	852	563
602	853	562
603	855	560
604	856	559
605	857	557
606	859	556
607	860	554
608	861	553
609	862	551
610	864	550
611	865	548
612	866	547
613	868	545
614	869	544
615	870	542
616	872	541
617	873	539
618	874	538
619	875	536
620	877	535
621	878	533
622	879	532
623	881	530
624	882	529
625	883	527
626	884	526
627	886	525
628	887	523
629	889	522
630	890	520
631	891	519
632	892	517
633	894	516
634	895	514
635	896	513
636	898	511
637	899	510
638	900	509
639	902	507
640	903	506
641	905	504
642	906	503
643	907	501
644	909	500
645	910	498
646	911	497
647	913	496
648	914	494
649	915	493
650	917	491
651	918	490
652	920	488
653	921	487
654	922	486
655	923	484
656	924	482
657	926	481
658	927	479
659	928	478
660	930	477
661	931	475
662	932	474
663	934	472
664	935	471
665	936	469
666	938	468
667	939	466
668	940	465
669	941	463
670	943	462
671	944	461
672	945	459
673	947	458
674	948	456
675	949	455
676	950	453
677	951	452
678	953	450
679	954	449
680	956	447
681	957	446
682	958	444
683	959	443
684	960	441
685	961	440
686	962	438
687	964	437
688	965	435
689	966	434
690	967	432
691	968	430
692	969	429
693	970	427
694	971	426
695	974	425
696	976	424
697	977	422
698	978	421
699	980	420
700	981	418
701	982	417
702	983	415
703	985	414
704	986	412
705	987	411
706	988	409
707	990	408
708	991	406
709	992	405
710	993	404
711	995	402
712	996	401
713	997	399
714	999	398
715	1000	396
716	1001	395
717	1002	393
718	1004	392
719	1005	390
720	1006	389
721	1008	388
722	1009	386
723	1010	385
724	1012	383
725	1013	382
726	1014	381
727	1016	379
728	1017	378
729	1018	376
730	1019	375
731	1020	373
732	1022	372
733	1023	370
734	1024	369
735	1025	367
736	1026	366
737	1028	364
738	1029	363
739	1030	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1037	355
745	1038	353
746	1039	352
747	1040	350
748	1041	349
749	1042	347
750	1043	346
751	1044	344
752	1046	343
753	1047	341
754	1048	340
755	1049	338
756	1050	337
757	1051	335
758	1052	334
759	1053	332
760	1055	331
761	1056	329
762	1057	328
763	1058	326
764	1059	325
765	1060	324
766	1061	322
767	1062	321
768	1064	319
769	1065	318
770	1066	316
771	1067	315
772	1068	313
773	1070	312
774	1071	310
775	1072	309
776	1073	308
777	1074	306
778	1075	305
779	1076	303
780	1077	302
781	1078	300
782	1079	299
783	1080	297
784	1082	296
785	1083	294
786	1084	293
787	1085	292
788	1086	290
789	1087	289
790	1088	287
791	1089	286
792	1090	284
793	1092	283
794	1093	281
795	1094	280
796	1095	279
797	1096	277
798	1098	276
799	1099	274
800	1100	273
801	1101	271
802	1102	270
803	1103	269
804	1104	267
805	1105	266
806	1106	264
807	1107	263
808	1108	261
809	1109	260
810	1111	258
811	1112	257
812	1113	256
813	1114	254
814	1115	253
815	1116	251
816	1117	250
817	1118	248
818	1119	247
819	1121	246
820	1122	244
821	1123	243
822	1124	241
823	1125	240
824	1126	238
825	1127	237
826	1128	236
827	1130	234
828	1131	233
829	1132	231
830	1133	230
831	1134	229
832	1135	227
833	1136	226
834	1137	224
835	1138	223
836	1139	221
837	1140	220
838	1142	219
839	1143	217
840	1144	216
841	1145	214
842	1146	213
843	1147	212
844	1148	210
845	1149	209
846	1150	207
847	1151	206
848	1152	205
849	1154	203
850	1155	202
851	1156	200
852	1157	199
853	1158	198
854	1159	196
855	1160	195
856	1161	193
857	1162	192
858	1163	191
859	1165	189
860	1166	188
861	1167	186
862	1168	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1174	178
868	1175	177
869	1176	175
870	1177	174
871	1178	172
872	1179	171
873	1180	170
874	1181	168
875	1182	167
876	1183	166
877	1184	164
878	1186	163
879	1187	161
880	1188	160
881	1189	159
882	1190	157
883	1191	156
884	1192	154
885	1193	153
886	1194	152
887	1195	150
888	1197	149
889	1198	148
890	1199	146
891	1200	145
892	1201	143
893	1202	142
894	1203	141
895	1204	139
896	1206	138
897	1207	137
898	1208	135
899	1209	134
900	1210	133
901	1211	131
902	1212	130
903	1213	128
904	1214	127
905	1216	126
906	1217	124
907	1218	123
908	1219	122
909	1220	120
910	1221	119
911	1222	117
912	1223	116
913	1225	115
914	1226	113
915	1227	112
916	1228	111
917	1229	109
918	1231	108
919	1232	107
920	1233	105
921	1234	104
922	1235	103
923	1237	101
924	1238	100
925	1239	99
926	1240	97
927	1241	96
928	1242	94
929	1243	93
930	1244	92
931	1245	90
932	1247	89
933	1248	88
934	1249	86
935	1250	85
936	1251	84
937	1252	82
938	1253	81
939	1254	80
